,Identifier,Epoch,Tile,Subtile,Version,SignalURL,RMSURL
30,VLASS1.1.T06t24.J153433-163000,VLASS1.1,T06t24,J153433-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153433-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153433-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153433-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153433-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
31,VLASS1.1.T06t24.J153843-163000,VLASS1.1,T06t24,J153843-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153843-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153843-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J153843-163000.10.2048.v1/VLASS1.1.ql.T06t24.J153843-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
32,VLASS1.1.T06t24.J154253-163000,VLASS1.1,T06t24,J154253-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J154253-163000.10.2048.v1/VLASS1.1.ql.T06t24.J154253-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J154253-163000.10.2048.v1/VLASS1.1.ql.T06t24.J154253-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
33,VLASS1.1.T06t24.J154702-163000,VLASS1.1,T06t24,J154702-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J154702-163000.10.2048.v1/VLASS1.1.ql.T06t24.J154702-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J154702-163000.10.2048.v1/VLASS1.1.ql.T06t24.J154702-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
34,VLASS1.1.T06t24.J155112-163000,VLASS1.1,T06t24,J155112-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155112-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155112-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155112-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155112-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
35,VLASS1.1.T06t24.J155522-163000,VLASS1.1,T06t24,J155522-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155522-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155522-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155522-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155522-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
36,VLASS1.1.T06t24.J155843-163000,VLASS1.1,T06t24,J155843-163000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155843-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155843-163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T06t24/VLASS1.1.ql.T06t24.J155843-163000.10.2048.v1/VLASS1.1.ql.T06t24.J155843-163000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
37,VLASS1.1.T07t10.J061021-153000,VLASS1.1,T07t10,J061021-153000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t10/VLASS1.1.ql.T07t10.J061021-153000.10.2048.v1/VLASS1.1.ql.T07t10.J061021-153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t10/VLASS1.1.ql.T07t10.J061021-153000.10.2048.v1/VLASS1.1.ql.T07t10.J061021-153000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
38,VLASS1.1.T07t18.J113018-143000,VLASS1.1,T07t18,J113018-143000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t18/VLASS1.1.ql.T07t18.J113018-143000.10.2048.v1/VLASS1.1.ql.T07t18.J113018-143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t18/VLASS1.1.ql.T07t18.J113018-143000.10.2048.v1/VLASS1.1.ql.T07t18.J113018-143000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
39,VLASS1.1.T07t33.J213013-123000,VLASS1.1,T07t33,J213013-123000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t33/VLASS1.1.ql.T07t33.J213013-123000.10.2048.v1/VLASS1.1.ql.T07t33.J213013-123000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1/T07t33/VLASS1.1.ql.T07t33.J213013-123000.10.2048.v1/VLASS1.1.ql.T07t33.J213013-123000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits
